              Procedure           Image            Address        Calls Instructions
PyFortranObject_NewAsAttr _nnls.x86_64-linux-gnu.so       7fca52760120            1           20
              init_nnls _nnls.x86_64-linux-gnu.so       7fca5275f520            1           91
                  .text _nnls.x86_64-linux-gnu.so       7fca5275ec40            0           17
   PyModule_GetDict@plt _nnls.x86_64-linux-gnu.so       7fca5275ebd0            1            1
      _PyObject_New@plt _nnls.x86_64-linux-gnu.so       7fca5275eb80            1            1
PyCObject_AsVoidPtr@plt _nnls.x86_64-linux-gnu.so       7fca5275eb70            1            1
         PyDict_New@plt _nnls.x86_64-linux-gnu.so       7fca5275eb50            1            1
PyFortranObject_NewAsAttr@plt _nnls.x86_64-linux-gnu.so       7fca5275eb10            1            1
PyImport_ImportModule@plt _nnls.x86_64-linux-gnu.so       7fca5275eae0            1            1
     PyErr_Occurred@plt _nnls.x86_64-linux-gnu.so       7fca5275ead0            1            1
PyString_FromString@plt _nnls.x86_64-linux-gnu.so       7fca5275ea90            2            2
 PyErr_NewException@plt _nnls.x86_64-linux-gnu.so       7fca5275ea50            1            1
PyObject_GetAttrString@plt _nnls.x86_64-linux-gnu.so       7fca5275e9a0            1            1
  Py_InitModule4_64@plt _nnls.x86_64-linux-gnu.so       7fca5275e990            1            1
PyDict_SetItemString@plt _nnls.x86_64-linux-gnu.so       7fca5275e940            3            3
                  _init _nnls.x86_64-linux-gnu.so       7fca5275e8d0            1            6
             init_zeros _zeros.x86_64-linux-gnu.so       7fca5298e230            1            6
                  .text _zeros.x86_64-linux-gnu.so       7fca5298dc50            0           17
  Py_InitModule4_64@plt _zeros.x86_64-linux-gnu.so       7fca5298db50            1            1
                  _init _zeros.x86_64-linux-gnu.so       7fca5298db20            1            6
 initgivens_elimination givens_elimination.x86_64-linux-gnu.so       7fca52f96000            1         1842
                  .text givens_elimination.x86_64-linux-gnu.so       7fca52f80b00            2          898
    PyImport_Import@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80ae0            2            2
PyUnicodeUCS4_FromStringAndSize@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80ac0            1            1
      Py_GetVersion@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80a90            1            1
       PyTuple_Pack@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80a80           15           15
   PyModule_GetDict@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80a00            2            2
        PySlice_New@plt givens_elimination.x86_64-linux-gnu.so       7fca52f809f0            3            3
PyCapsule_GetPointer@plt givens_elimination.x86_64-linux-gnu.so       7fca52f809e0            2            2
      PyCapsule_New@plt givens_elimination.x86_64-linux-gnu.so       7fca52f809b0            6            6
     PyDict_SetItem@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80980            9            9
     PyInt_FromLong@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80970            4            4
         PyDict_New@plt givens_elimination.x86_64-linux-gnu.so       7fca52f808f0            2            2
PyThread_allocate_lock@plt givens_elimination.x86_64-linux-gnu.so       7fca52f808a0            8            8
PyDict_GetItemString@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80840            2            2
PyObject_CallFunctionObjArgs@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80830            1            1
    PyType_Modified@plt givens_elimination.x86_64-linux-gnu.so       7fca52f807f0            3            3
        PyTuple_New@plt givens_elimination.x86_64-linux-gnu.so       7fca52f807c0            2            2
PyString_FromString@plt givens_elimination.x86_64-linux-gnu.so       7fca52f807b0            2            2
  PyCapsule_IsValid@plt givens_elimination.x86_64-linux-gnu.so       7fca52f807a0            2            2
       PyType_Ready@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80700            4            4
      PyOS_snprintf@plt givens_elimination.x86_64-linux-gnu.so       7fca52f806c0            2            2
PyString_InternFromString@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80660           60           60
         PyCode_New@plt givens_elimination.x86_64-linux-gnu.so       7fca52f805c0            1            1
PyObject_SetAttrString@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80560            1            1
 PyImport_AddModule@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80550            1            1
PyObject_GetAttrString@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80540            2            2
  Py_InitModule4_64@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80520            1            1
  PyCFunction_NewEx@plt givens_elimination.x86_64-linux-gnu.so       7fca52f804f0            1            1
PyString_FromStringAndSize@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80450           22           22
         PyList_New@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80440            1            1
PyUnicodeUCS4_DecodeUTF8@plt givens_elimination.x86_64-linux-gnu.so       7fca52f80430            2            2
                  _init givens_elimination.x86_64-linux-gnu.so       7fca52f803f8            1            6
     init_group_columns _group_columns.x86_64-linux-gnu.so       7fca53554130            1         2218
                  .text _group_columns.x86_64-linux-gnu.so       7fca53538d70            8         1288
    PyImport_Import@plt _group_columns.x86_64-linux-gnu.so       7fca53538d50            8            8
PyUnicodeUCS4_FromStringAndSize@plt _group_columns.x86_64-linux-gnu.so       7fca53538d30            1            1
      Py_GetVersion@plt _group_columns.x86_64-linux-gnu.so       7fca53538d00            1            1
       PyTuple_Pack@plt _group_columns.x86_64-linux-gnu.so       7fca53538cf0           26           26
   PyObject_GetAttr@plt _group_columns.x86_64-linux-gnu.so       7fca53538ca0            8            8
   PyModule_GetDict@plt _group_columns.x86_64-linux-gnu.so       7fca53538c60            2            2
        PySlice_New@plt _group_columns.x86_64-linux-gnu.so       7fca53538c50            3            3
      PyCapsule_New@plt _group_columns.x86_64-linux-gnu.so       7fca53538c20            6            6
     PyDict_SetItem@plt _group_columns.x86_64-linux-gnu.so       7fca53538bf0           10           10
     PyInt_FromLong@plt _group_columns.x86_64-linux-gnu.so       7fca53538be0            4            4
         PyDict_New@plt _group_columns.x86_64-linux-gnu.so       7fca53538b60            2            2
PyThread_allocate_lock@plt _group_columns.x86_64-linux-gnu.so       7fca53538b10            8            8
PyObject_CallFunctionObjArgs@plt _group_columns.x86_64-linux-gnu.so       7fca53538ab0            1            1
    PyType_Modified@plt _group_columns.x86_64-linux-gnu.so       7fca53538a70            3            3
        PyTuple_New@plt _group_columns.x86_64-linux-gnu.so       7fca53538a40            2            2
PyString_FromString@plt _group_columns.x86_64-linux-gnu.so       7fca53538a30           16           16
       PyType_Ready@plt _group_columns.x86_64-linux-gnu.so       7fca535389a0            4            4
      PyOS_snprintf@plt _group_columns.x86_64-linux-gnu.so       7fca53538960            2            2
PyString_InternFromString@plt _group_columns.x86_64-linux-gnu.so       7fca53538900           67           67
         PyCode_New@plt _group_columns.x86_64-linux-gnu.so       7fca53538860            2            2
PyObject_SetAttrString@plt _group_columns.x86_64-linux-gnu.so       7fca53538800            1            1
 PyImport_AddModule@plt _group_columns.x86_64-linux-gnu.so       7fca535387f0            1            1
  Py_InitModule4_64@plt _group_columns.x86_64-linux-gnu.so       7fca535387d0            1            1
  PyCFunction_NewEx@plt _group_columns.x86_64-linux-gnu.so       7fca535387a0            2            2
PyString_FromStringAndSize@plt _group_columns.x86_64-linux-gnu.so       7fca53538700           24           24
         PyList_New@plt _group_columns.x86_64-linux-gnu.so       7fca535386f0            1            1
PyUnicodeUCS4_DecodeUTF8@plt _group_columns.x86_64-linux-gnu.so       7fca535386e0            8            8
                  _init _group_columns.x86_64-linux-gnu.so       7fca53538698            1            6
           init_minpack _minpack.x86_64-linux-gnu.so       7fca539a5c10            1           74
                  .text _minpack.x86_64-linux-gnu.so       7fca539a2730            0           17
   PyModule_GetDict@plt _minpack.x86_64-linux-gnu.so       7fca539a2710            1            1
PyCObject_AsVoidPtr@plt _minpack.x86_64-linux-gnu.so       7fca539a26a0            1            1
PyImport_ImportModule@plt _minpack.x86_64-linux-gnu.so       7fca539a25e0            1            1
